epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,315.467,1.24797,2.77225,1.21895,1.40437,0,0.43484,0.5,0.44294,0.21118,0.40764,0.45041,0.38571,0.15928,1.73588,4.30058,1.81952,1.68864,0,0.001175,0.001175,0.001175
52,321.364,1.25887,2.76773,1.28487,1.43069,0,0.27224,0.31071,0.23437,0.08006,0.22351,0.27686,0.16701,0.05053,2.03194,3.83411,2.57901,2.04447,0,0.0011585,0.0011585,0.0011585
53,327.341,1.2381,2.76205,1.23721,1.38743,0,0.25857,0.20661,0.13289,0.05243,0.2132,0.1405,0.09681,0.03579,1.98272,3.90319,2.85821,2.07734,0,0.001142,0.001142,0.001142
54,333.221,1.26979,2.80455,1.27853,1.39852,0,0.40662,0.4876,0.394,0.16827,0.40873,0.46281,0.36098,0.13282,1.72979,3.76555,1.95447,1.72468,0,0.0011255,0.0011255,0.0011255
55,338.98,1.24549,2.75803,1.21347,1.40701,0,0.53083,0.43802,0.44381,0.17495,0.51201,0.41736,0.36911,0.13617,1.87935,3.75534,1.87377,1.78268,0,0.001109,0.001109,0.001109
56,344.452,1.21477,2.67935,1.184,1.38745,0,0.4828,0.42562,0.41279,0.14722,0.40424,0.33884,0.25711,0.07984,1.86221,3.9461,1.96889,1.82925,0,0.0010925,0.0010925,0.0010925
57,350.317,1.22004,2.62586,1.16849,1.38816,0,0.37943,0.43802,0.39044,0.15502,0.52245,0.29752,0.32871,0.11736,1.84165,4.0559,2.12314,1.78259,0,0.001076,0.001076,0.001076
58,355.863,1.23632,2.70415,1.20985,1.39482,0,0.38107,0.35124,0.34302,0.11228,0.31498,0.29339,0.22734,0.06967,1.97457,4.38727,2.28911,1.89725,0,0.0010595,0.0010595,0.0010595
59,361.736,1.22676,2.65105,1.17973,1.38874,0,0.37291,0.35537,0.32281,0.10739,0.26796,0.2686,0.18508,0.05974,1.92864,4.04155,2.3348,1.92017,0,0.001043,0.001043,0.001043
60,367.494,1.23637,2.6375,1.19514,1.37668,0,0.49171,0.52366,0.46162,0.18676,0.44396,0.4586,0.37081,0.13986,1.84549,3.70749,1.84347,1.80837,0,0.0010265,0.0010265,0.0010265
61,372.761,1.24422,2.7353,1.2342,1.40816,0,0.4604,0.57438,0.45359,0.18383,0.38642,0.49174,0.35335,0.12562,1.78897,3.6415,1.78474,1.71024,0,0.00101,0.00101,0.00101
62,378.588,1.191,2.57661,1.1441,1.35135,0,0.49469,0.55423,0.49679,0.19626,0.46317,0.47062,0.42028,0.14807,1.8159,3.72261,1.72146,1.71774,0,0.0009935,0.0009935,0.0009935
63,384.606,1.18575,2.58285,1.12397,1.3516,0,0.50453,0.56198,0.45801,0.19923,0.44812,0.48347,0.36404,0.14922,1.73601,4.12387,1.72908,1.66771,0,0.000977,0.000977,0.000977
64,390.496,1.18749,2.55973,1.12754,1.35794,0,0.51364,0.45041,0.44803,0.20874,0.47229,0.41322,0.39506,0.16519,1.69647,3.98519,2.02701,1.73189,0,0.0009605,0.0009605,0.0009605
65,396.457,1.18112,2.58647,1.13132,1.33499,0,0.52504,0.5,0.49286,0.22777,0.47772,0.42562,0.41159,0.17487,1.70896,3.98831,1.7791,1.61995,0,0.000944,0.000944,0.000944
66,402.016,1.14219,2.41587,1.0719,1.32541,0,0.54094,0.61841,0.55958,0.2753,0.44036,0.46281,0.37447,0.1693,1.59143,4.80992,1.52982,1.5492,0,0.0009275,0.0009275,0.0009275
67,407.172,1.14769,2.50831,1.11437,1.32557,0,0.37961,0.54545,0.42237,0.19332,0.30122,0.31818,0.26948,0.12163,1.76387,5.05923,1.84795,1.72238,0,0.000911,0.000911,0.000911
68,413.218,1.17716,2.55271,1.09957,1.35672,0,0.36029,0.29752,0.26335,0.09717,0.30591,0.25207,0.20039,0.05928,1.93906,4.29159,2.41881,1.92915,0,0.0008945,0.0008945,0.0008945
69,419.116,1.14644,2.54295,1.10238,1.32229,0,0.35516,0.29752,0.26728,0.09385,0.2844,0.23967,0.19045,0.05411,1.94505,4.22479,2.41712,1.9352,0,0.000878,0.000878,0.000878
70,425.063,1.12905,2.50643,1.0552,1.32092,0,0.3668,0.42149,0.38772,0.14946,0.25867,0.34749,0.23747,0.09489,1.89477,4.18543,2.02889,1.90823,0,0.0008615,0.0008615,0.0008615
