epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,729.829,1.39445,2.40671,1.205,0.01743,1.49722,0.46018,0.39612,0.32556,0.1371,0.40359,0.34626,0.27416,0.0917,2.00853,3.5631,2.01187,0.02549,0,0.00170696,0.00170696,0.00170696
39,748.126,1.38244,2.32125,1.20616,0.01709,1.41972,0.40961,0.37285,0.30598,0.12554,0.36206,0.33518,0.25261,0.0855,2.13644,3.57817,2.23527,0.02894,0,0.00169904,0.00169904,0.00169904
40,766.262,1.36155,2.29115,1.20146,0.01754,1.43216,0.53032,0.32687,0.33931,0.15013,0.50558,0.29086,0.2786,0.1205,1.9861,3.74681,2.5071,0.02474,0,0.00169112,0.00169112,0.00169112
41,784.908,1.37013,2.3138,1.18036,0.01759,1.44503,0.34108,0.32133,0.22734,0.09142,0.34761,0.31586,0.21941,0.06248,2.01325,4.01166,2.69248,0.02592,0,0.0016832,0.0016832,0.0016832
42,803.196,1.39204,2.27461,1.17371,0.01677,1.35861,0.33766,0.36842,0.28921,0.12538,0.21492,0.24931,0.1573,0.06775,2.05838,5.21748,2.40912,0.02713,0,0.00167528,0.00167528,0.00167528
43,822.606,1.38241,2.33212,1.12771,0.01735,1.38599,0.23588,0.26593,0.19063,0.06721,0.1992,0.2133,0.12748,0.0344,2.11819,3.87516,2.58722,0.02952,0,0.00166736,0.00166736,0.00166736
44,841.203,1.33895,2.22494,1.07179,0.01616,1.36973,0.36169,0.30471,0.2638,0.09236,0.29289,0.22161,0.16384,0.04465,2.33663,4.85497,2.52205,0.03247,0,0.00165944,0.00165944,0.00165944
45,860.03,1.3281,2.23991,1.08156,0.01662,1.35758,0.38111,0.45706,0.36832,0.17609,0.30514,0.34903,0.2238,0.08545,2.02797,4.8548,2.08355,0.02571,0,0.00165152,0.00165152,0.00165152
46,879.73,1.34487,2.23182,1.12449,0.01702,1.31094,0.42123,0.31302,0.27897,0.11708,0.39566,0.27147,0.21051,0.07337,1.93461,4.11197,2.57463,0.02502,0,0.0016436,0.0016436,0.0016436
47,898.548,1.31004,2.2115,1.07925,0.01585,1.26199,0.36001,0.3518,0.23466,0.08225,0.29157,0.27424,0.15586,0.04656,2.40239,4.31024,2.65005,0.03258,0,0.00163568,0.00163568,0.00163568
48,917.427,1.29194,2.14339,1.04742,0.01591,1.25894,0.34383,0.36565,0.26093,0.11367,0.36103,0.32964,0.24541,0.0922,2.06174,3.55101,2.25063,0.02787,0,0.00162776,0.00162776,0.00162776
49,935.841,1.30172,2.16498,1.05594,0.01615,1.33063,0.31843,0.25762,0.20269,0.08938,0.30221,0.23823,0.17209,0.06382,2.10949,3.91348,2.95758,0.03016,0,0.00161984,0.00161984,0.00161984
50,954.818,1.29486,2.19694,1.07616,0.01568,1.30253,0.35183,0.4626,0.32816,0.16338,0.30548,0.40166,0.25138,0.1123,1.78223,4.29995,2.27204,0.02302,0,0.00161192,0.00161192,0.00161192
51,973.99,1.28464,2.04587,1.01757,0.01587,1.139,0.375,0.39058,0.2802,0.11404,0.36049,0.33573,0.2295,0.08592,2.19874,4.32187,2.34401,0.02863,0,0.001604,0.001604,0.001604
52,992.682,1.27069,2.01885,0.98082,0.01542,1.18469,0.38991,0.43729,0.35303,0.16338,0.33464,0.3795,0.27665,0.10102,1.95924,3.7127,2.32589,0.02413,0,0.00159608,0.00159608,0.00159608
53,1012.64,1.22971,2.08945,0.96774,0.01497,1.13003,0.29992,0.22161,0.18084,0.07311,0.2245,0.16898,0.10467,0.03457,1.96042,4.43721,3.05846,0.02567,0,0.00158816,0.00158816,0.00158816
54,1031.91,1.27742,2.0416,1.03188,0.01559,1.20361,0.39721,0.42382,0.33768,0.1469,0.42113,0.2964,0.26362,0.09864,2.08127,4.20816,2.21928,0.02689,0,0.00158024,0.00158024,0.00158024
55,1050.65,1.26029,2.0389,1.03238,0.01574,1.18833,0.38336,0.39612,0.30012,0.14332,0.359,0.36288,0.28792,0.12627,1.95785,3.40485,2.33406,0.0252,0,0.00157232,0.00157232,0.00157232
56,1070.09,1.23333,1.98798,0.99179,0.01484,1.16979,0.48626,0.49584,0.39323,0.18398,0.45941,0.46847,0.37616,0.15152,2.04722,3.76814,2.19447,0.02615,0,0.0015644,0.0015644,0.0015644
57,1089.38,1.25224,2.01799,1.00247,0.01439,1.16567,0.35002,0.39058,0.26175,0.11658,0.36014,0.30748,0.2229,0.07855,1.94124,4.22642,2.47259,0.0263,0,0.00155648,0.00155648,0.00155648
58,1108.84,1.24547,2.02799,0.97387,0.01551,1.18405,0.33947,0.41855,0.29207,0.12323,0.31813,0.35734,0.24906,0.09023,1.88756,4.04406,2.43315,0.02482,0,0.00154856,0.00154856,0.00154856
59,1127.24,1.27606,2.02202,0.99565,0.0154,1.15326,0.30147,0.25762,0.16864,0.07895,0.27759,0.22161,0.12478,0.04966,2.01286,4.51415,2.97526,0.02618,0,0.00154064,0.00154064,0.00154064
60,1145.44,1.25754,1.98838,0.96726,0.01495,1.11549,0.45677,0.41828,0.40421,0.19169,0.4383,0.31302,0.30059,0.12506,1.91433,4.31393,2.04555,0.02587,0,0.00153272,0.00153272,0.00153272
61,1165.21,1.25296,1.95992,0.96438,0.01498,1.05613,0.4648,0.33518,0.28221,0.13534,0.41653,0.28532,0.23088,0.08716,1.9046,3.9162,2.8525,0.02409,0,0.0015248,0.0015248,0.0015248
62,1185.11,1.21766,1.95702,0.91574,0.01435,1.05851,0.62496,0.47091,0.47903,0.25664,0.58649,0.42382,0.3998,0.20017,1.78796,4.29542,2.01458,0.02164,0,0.00151688,0.00151688,0.00151688
63,1205.87,1.21165,1.87078,0.89389,0.01403,0.98159,0.39647,0.39612,0.3054,0.16052,0.37151,0.37119,0.25523,0.11802,1.88469,4.17123,2.41696,0.0238,0,0.00150896,0.00150896,0.00150896
64,1223.9,1.16698,1.87344,0.8584,0.01445,0.97682,0.31738,0.32687,0.23041,0.09265,0.2851,0.29363,0.20065,0.06597,2.0735,3.97752,3.18261,0.02787,0,0.00150104,0.00150104,0.00150104
65,1242.46,1.21474,1.9944,0.98862,0.01477,1.12484,0.46149,0.39335,0.33841,0.16083,0.40016,0.32893,0.27602,0.12114,2.00243,4.14079,2.30835,0.02556,0,0.00149312,0.00149312,0.00149312
66,1260.98,1.18733,1.85655,0.89812,0.01467,1.00205,0.45419,0.36288,0.33554,0.16209,0.45209,0.34513,0.31935,0.13861,2.09961,3.99122,2.62856,0.02669,0,0.0014852,0.0014852,0.0014852
67,1278.45,1.19866,1.82653,0.9239,0.0145,1.05035,0.41477,0.3475,0.26932,0.11005,0.39629,0.33518,0.24891,0.08779,2.07474,3.50141,2.62878,0.0268,0,0.00147728,0.00147728,0.00147728
